Project,Class,Pattern Predicted
ChenSun,Statement,
dozer,BaseSampleBeanFactory,
graph-collections,SpatialIndexVisitor,
api,SingletonProvider,
thredds,Nc4prototypes,
sslr,MatcherVisitor,
ChenSun,V1toV2StatementInterceptorAdapter,
cxf,ParamTypeSpecVisitor,
eclipse.platform.debug,MementoUpdate,
cdt,ControlFlowGraphBuilder,
Lord-of-Ultima-Manager,SessionAdapter,
cdt,AbstractCExtensionProxy,
maven-3,DefaultSettingsBuilder,
biojava-legacy,SequenceBuilderFactory,
biomixer,FixedLabelResourceSetAvatarFactory,
intellij-community,MockFileIndexFacade,
flume_1,BenchmarkInjectDecorator,
cdt,ACBuilder,
Emma,AbstractItemVisitor,
swing-mvc-demo,GroupModelObserver,
crunch,JobPrototype,
ChenSun,ConnectionGroup,
molgenis_apps,MolgenisUserDecorator,
cdt,IPathSettingsContainerVisitor,
biomixer,ResourceSetPresenterDropCommandFactory,
coala,DocumentEntryBuilder,
drools,Memento,
cdt,DocumentAdapter,
java-design-patterns-master,WeatherObserver,
AllBinary-Platform,ConstrainedMotionRectanglesResultsCacheSingleton,
BuildCraft,EnergyProxyClient,
JavaDesignPatternExercises,Memento,
de-webapp,MessageServiceFacade,
BuildCraft,EnergyProxy,
carrot2,SimpleXmlMemento,
cw-omnibus,ContentsAdapter,
cytoscape-plugins,ObjectFactorySingleton,
jbehave-core,SpringAnnotationBuilder,
cdt,ModulesViewModelProxy,
AllBinary-Platform,GameConfigurationPersistanceSingleton,
basiclti-portlet,SakaiAdapter,
smsc-server,StatisticsObserver,
cucumber-jvm,ZipResourceIteratorFactory,
OneSwarm,DHTRouterObserver,
pmd,DumpFacade,
cdk,FacesConfigAdapter,
ASEME,StatechartFactoryImpl,
petals-studio,MailFactoryImpl,
DownloadProvider,DownloadAdapter,
ChenSun,ConnectionProperties,
cxf,MultipleEndpointObserver,
DimSim,RTMPTCodecFactory,
cxf,VisitorBase,
cdk,LibraryBuilder,
flume_1,GunzipDecorator,
jbehave-core,WeldStepsFactory,
jbehave-core,CalendarConverter,
pcgen-svn,TermEvaluatorBuilderPCStat,
jbehave-core,Trader,
SamyGo-Android-Remote,CSeriesKeyCodeSenderFactory,
intellij-community,FileIndexFacade,
platform,ActivityMediationStatisticsObserver,
liferay-portal,LayoutPrototype,
flume_1,BloomCheckDecorator,
petals-studio,MailFactory,
biomixer,Memento,
pcgen-svn,LanguageChooserFacade,
cdt,IListAdapter,
CIDE,ScreenSingleton,
java-design-patterns-master,OrcKingdomFactory,
WhartonEventScheduler,EventListCursorAdapter,
platform,RestAPIObserver,
cayenne,WidgetFactory,
BuildCraft,TransportProxy,
cxf,EndpointReferenceDomainExpressionBuilder,
platform,STSObserver,
brightroom,AppHistoryObserver,
pcgen-svn,ManufacturableFactory,
android-rackspacecloud,NioTransformingHttpCommandExecutorServiceModule,
jbehave-core,SameThreadExecutors,
jamendo-android,ReviewBuilder,
jbehave-core,SpringStoryReporterBuilder,
jbehave-core,CompositeNestedSteps,
s4,PrototypeRequest,
suite,Prototype,
cdt,CDataProxyContainer,
CIDE,ScreenSingleton,
ChenSun,BlobFromLocator,
Catroid,PrototypeBrickAdapter,
jbehave-core,GroovyAnnotationBuilder,
emf.compare,DefaultComparisonFactory,
intellij-community,SingletonMap,
maven-3,DefaultJavaToolchainFactory,
flume_1,DigestDecorator,
iBatisWorkShop,SingletonConnectionManager,
osate2-core,FeaturePrototype,
3taps-Java-Client,BestMatchResponse,
pcgen-svn,SpellFacade,
Lord-of-Ultima-Manager,TroopAdapter,
sslr,SymbolTableBuilderVisitor,
jbehave-core,ParameterConverters,
lcmc,PrototypeFactory,
jbehave-core,StoryReporterBuilder,
openejb,SingletonContext,
pcgen-svn,StatFacade,
cdt,CVisitor,
cxf,PortTypeVisitor,
cxf,JaxbAssertionBuilder,
sslr,FirstVisitor,
cdt,UpdatePolicyDecorator,
cdt,CodeFormatterVisitor,
